Camp_Name,enum_name,enum_nub,coordinates_latitude,coordinates_longitude,governorate,site_typology,area,sub_site,site_name,site_new,month,camp_mngt,camp_mngmt_office,camp_mngmt_male_staff,camp_mngmt_female_staff,camp_committee,population_tracking,plots/occupied_plots,plots/not_occupied_plots,extension/total_plots,extension/total_plots_confirm,extension/extension_planned,shelter_types/tent_cement,shelter_types/tent_ground,shelter_types/caravan,shelter_types/improvised_shelter,shelter_types/single_fam_unit,shelter_types/collective,shelter_types/rubhall,shelter_types/openair,shelter_types/overcrowded_family_plots,total_hh/total_families,ind_ages/ind_age_groups/males_0_4,ind_ages/ind_age_groups/females_0_4,ind_ages/ind_age_groups/males_5_17,ind_ages/ind_age_groups/females_5_17,ind_ages/ind_age_groups/males_18_59,ind_ages/ind_age_groups/females_18_59,ind_ages/ind_age_groups/males_60_over,ind_ages/ind_age_groups/females_60_over,ind_ages/total_population,ind_ages/vulnerabilities_groups./F_HoH,ind_ages/vulnerabilities_groups./Child_HoH,ind_ages/vulnerabilities_groups./unaccompanied_separated,ind_ages/vulnerabilities_groups./ppl_physical_dis,ind_ages/vulnerabilities_groups./ppl_mental_dis,ind_ages/vulnerabilities_groups./preg_or_lac,ind_ages/vulnerabilities_groups./ppl_chronic_disease,ind_ages/vulnerabilities_groups./elderly_at_risk,ind_ages/vulnerabilities_groups./widow,Needs/priority_needs,nfi_items/blankets,nfi_items/mattress,nfi_items/water_container,nfi_items/oven,nfi_items/fuel,nfi_items/kitchen_nfi,nfi_items/hygiene,nfi_items/feminine,nfi_items/other_nfi_items,nfi_items/other_specify,wash/water_quantity,wash/wash_source,wash/water_points,wash/latrines_nonsegregated,wash/latrines_male,wash/latrines_female,wash/shower_nonsegregated,wash/shower_male,wash/shower_female,wash/wastebins,health/health_phc,health/health_femaleworkers,health/health_shc,health/health_services_preg,health/health_ambulance,health/ilness_type,food_security/food_access,food_security/food_assistance_freq,food_security/food_assistance_type,protection/security,protection/departure,protection/temp_leaving_camp_med,protection/temp_leaving_camp_markt,protection/phones_allowed,protection/missing_docs,protection/uxo,protection/services_prot,protection/host_tension,protection/access_markets,education_access/primary_school,education_access/secondary_school,education/boys_primary,education/boys_secondary,education/girls_primary,education/girls_secondary,education/reasons_not_school,education/non_formal_edu,education/non_formal_participation,education/recreational,who_what/partners_protection,who_what/partners_gbv,who_what/partners_childprot,who_what/partners_education,who_what/partners_shelter,who_what/partners_water,who_what/partners_sanitation,who_what/partners_waste,who_what/partners_nfi,who_what/partners_phc,who_what/partners_shc,who_what/partners_mhpss,who_what/partners_nutrition,who_what/partners_food,who_what/partners_socialcohesion,who_what/partners_livelihood,who_what/partners_communication
Kavalari/Sinatex,Maria Papazoglou,GRC,40.673345,22.959854,GRC,camp,HTC,IQ0102-0001-001,IQ0102-0001,,november,idps,yes,1,0,"camp mngmt committee, women committee, youth committee",paper,62,0,62,yes,no,0,58,4,0,0,0,0,0,less_25%,68,85,150,70,150,25,50,15,10,555,50,0,5,0,3,7,25,15,6,"education, food, medical_care",btw_25%_50%,btw_25%_50%,btw_50%_75%,less_25%,less_25%,btw_50%_75%,less_25%,less_25%,less_25%,,20,"trucking, network",0,4,4,4,4,4,4,4,no,,yes,no,no,skin disease,no,rarely,dry ration,local auth,with sponsor,yes,yes,yes,less_25%,no,none None,no,yes,yes,yes,btw_25%_50%,btw_25%_50%,btw_50%_75%,btw_25%_50%,"lack material, tuition cost",no,,,none,none,none,"doe, ministry of education",unhcr,"nrc, RIRP",nrc,none,none,"ministry of health, msf",none,none,"isho, wfp","isho, wfp",none,none,none
Eleonas I & II,Jane Akl,GRC,37.981974,23.697135,GRC,camp,HTC,IQ0102-0001-002,IQ0102-0001,,november,idps,yes,1,0,"camp mngmt committee, women committee",paper,100,2,102,yes,no,0,100,0,0,0,0,0,0,less_25%,140,80,60,70,95,100,100,25,35,565,40,20,25,8,5,30,15,9,17,"education, food, water",less_25%,btw_25%_50%,btw_25%_50%,btw_25%_50%,less_25%,less_25%,less_25%,less_25%,less_25%,,25,"trucking, network",0,0,2,2,0,2,2,3,no,,no,no,no,skin disease,no,rarely,dry ration,armed forces,with sponsor,yes,yes,yes,less_25%,no,none None,yes,yes,yes,yes,btw_25%_50%,btw_50%_75%,btw_25%_50%,btw_25%_50%,"stay home, work, disinterest, safety security",no,,,none,none,none,none,none,"nrc, RIRP",none,none,none,none,none,none,none,"isho, wfp",none,none,modm
Eleonas 3,Jane Akl,GRC,37.982414,23.696963,GRC,camp,HTC,IQ0102-0001-009,IQ0102-0001,,november,idps,no,3,0,"camp mngmt committee, women committee, youth committee",paper,135,0,135,yes,no,0,135,0,0,0,0,0,0,less_25%,130,50,50,140,225,70,95,55,85,770,25,0,101,28,28,40,0,10,25,"education, food, water",less_25%,less_25%,less_25%,less_25%,less_25%,btw_25%_50%,less_25%,less_25%,less_25%,,25,trucking,0,2,0,0,0,1,1,0,no,,no,no,no,do not know,no,rarely,dry ration,local auth,with sponsor,yes,yes,yes,less_25%,no,recreational activities,no,yes,yes,yes,btw_50%_75%,btw_25%_50%,btw_25%_50%,btw_25%_50%,"stay home, work, disinterest, curriculumn, tuition cost",no,,less_25%,none,none,none,none,none,none,none,none,none,none,none,none,"none, unknown",wfp,none,none,none
Souda,Dimitris Dimitriadis,GRC,38.375893,26.137497,GRC,camp,HTC,IQ0102-0001-011,IQ0102-0001,,november,idps,no,1,0,camp mngmt committee,paper,23,0,23,yes,no,0,20,3,0,0,0,0,0,less_25%,28,11,7,15,18,60,54,2,1,168,26,0,0,5,7,7,16,3,3,"food, medical_care, water",btw_25%_50%,btw_25%_50%,less_25%,btw_25%_50%,less_25%,btw_50%_75%,btw_25%_50%,less_25%,less_25%,,10,trucking,0,0,4,4,0,4,4,1,no,,yes,no,no,skin disease,no,rarely,dry ration,"armed forces, local auth",with sponsor,yes,yes,yes,less_25%,yes,recreational activities,yes,yes,yes,yes,btw_50%_75%,btw_25%_50%,btw_50%_75%,btw_25%_50%,"no space, stay home, cost transport, disinterest, safety security",no,,less_25%,none,none,unfpa,doe,unhcr,unicef,unicef,"government, none",none,doh,none,none,wfp,"wfp, Muslim, Aid",none,none,none
Elefsina,konstantinos Dimopoulos,GRC,37.997451,23.781746,GRC,camp,HTC,IQ0102-0001-014,IQ0102-0001,,november,idps,no,2,0,"camp mngmt committee, women committee, youth committee",paper,110,0,110,yes,no,60,45,0,0,0,0,0,0,less_25%,105,100,150,150,50,150,160,50,40,850,100,0,50,10,3,100,10,5,10,"education, food, water",less_25%,btw_25%_50%,btw_25%_50%,less_25%,btw_25%_50%,btw_50%_75%,less_25%,less_25%,less_25%,,40,"trucking, network",0,0,6,6,0,6,6,0,no,,no,no,no,skin disease,no,rarely,dry ration,local auth,with sponsor,yes,yes,yes,less_25%,no,child friendly space,no,yes,yes,yes,btw_25%_50%,btw_25%_50%,btw_25%_50%,btw_25%_50%,safety security,no,,,none,none,none,none,unhcr,"nrc, RIRP",none,none,none,none,none,none,"isho, wfp","isho, wfp",none,none,none
Malakasa,Konstantinos Dimopoulos,GRC,37.997462,23.78172,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vathy RIC,Arie van der Stel,GRC,37.757738,26.981575,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIAL RIC,Dimitris Dimitriadis,GRC,38.192384,26.5326,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trikala (Atlantic),Isabel Cristina Martinez Pereira,GRC,39.556087,21.795443,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andravida,Panagiotis Tsirigotis,GRC,37.93842,21.20694,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavrio,Panagiotis Tsirigotis,GRC,37.7031094,24.0334984,GRC,camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
